playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP
7870,Jonathan Lucroy,LAA,93,86,22,2,12,11,0,6.50%,9.70%,0.093,0.267,0.256,0.312,0.349,19.50%,50.60%,29.90%,4.30%,8.70%,23.90%,56.10%,39.60%,74.50%,96.20%,89.50%,0.305
4922,Ender Inciarte,ATL,101,90,21,2,8,6,3,8.90%,21.80%,0.122,0.284,0.233,0.307,0.356,24.60%,58.50%,16.90%,0.00%,18.20%,33.00%,68.90%,49.20%,70.80%,83.90%,79.10%,0.343
17326,Cole Tucker,PIT,38,36,9,1,4,2,0,5.30%,31.60%,0.167,0.348,0.25,0.289,0.417,13.00%,60.90%,26.10%,0.00%,16.70%,33.30%,71.20%,49.30%,48.10%,83.30%,69.60%,0.266
15274,Mike Tauchman,NYY,71,62,11,3,10,8,1,12.70%,29.60%,0.21,0.211,0.177,0.282,0.387,9.80%,58.50%,31.70%,0.00%,23.10%,22.90%,67.40%,41.50%,60.50%,89.00%,79.90%,0.361
7007,Yadier Molina,STL,114,107,28,2,11,20,1,4.40%,7.90%,0.131,0.265,0.262,0.289,0.393,29.00%,41.00%,30.00%,6.70%,6.70%,40.60%,78.80%,56.30%,75.80%,92.70%,85.50%,0.312
9774,Christian Vazquez,BOS,79,72,16,4,12,13,1,7.60%,19.00%,0.208,0.222,0.222,0.278,0.431,19.00%,37.90%,43.10%,4.00%,16.00%,24.20%,65.10%,43.20%,69.40%,89.30%,83.30%,0.32
19198,Yuli Gurriel,HOU,113,104,25,1,12,9,0,7.10%,12.40%,0.135,0.267,0.24,0.292,0.375,33.00%,31.90%,35.20%,9.40%,3.10%,29.60%,67.60%,46.50%,74.20%,91.70%,85.60%,0.343
14103,Rio Ruiz,BAL,106,92,21,2,8,10,0,12.30%,21.70%,0.087,0.279,0.228,0.321,0.315,21.40%,47.10%,31.40%,13.60%,9.10%,24.90%,64.50%,41.70%,58.10%,85.60%,76.10%,0.306
5751,Hernan Perez,MIL,56,52,11,3,7,6,1,7.10%,37.50%,0.192,0.286,0.212,0.268,0.404,9.70%,41.90%,48.40%,0.00%,20.00%,42.40%,62.60%,51.10%,64.30%,71.00%,67.80%,0.262
13185,Orlando Arcia,MIL,105,98,23,4,12,11,0,6.70%,22.90%,0.163,0.271,0.235,0.286,0.398,16.40%,54.80%,28.80%,14.30%,19.00%,33.60%,65.50%,47.20%,58.20%,82.50%,72.50%,0.283
13265,Mike Zunino,TBR,70,67,15,2,7,12,0,4.30%,25.70%,0.194,0.277,0.224,0.257,0.418,20.40%,34.70%,44.90%,13.60%,9.10%,39.60%,76.90%,56.20%,47.20%,88.00%,72.10%,0.232
14950,Johan Camargo,ATL,71,65,15,1,8,10,1,8.50%,18.30%,0.138,0.275,0.231,0.296,0.369,21.20%,34.60%,44.20%,8.70%,4.30%,40.70%,77.00%,55.40%,63.20%,88.50%,77.40%,0.279
4579,Starlin Castro,MIA,122,113,28,3,11,9,1,7.40%,14.80%,0.088,0.272,0.248,0.303,0.336,13.70%,58.90%,27.40%,3.80%,11.50%,28.30%,62.60%,42.80%,76.00%,91.00%,85.30%,0.3
9810,Brian Dozier,WSN,101,87,16,4,10,6,1,12.90%,28.70%,0.149,0.222,0.184,0.297,0.333,12.10%,50.00%,37.90%,18.20%,18.20%,20.30%,58.80%,37.60%,52.10%,81.60%,72.80%,0.34
10200,Tucker Barnhart,CIN,78,67,14,2,8,5,0,12.80%,24.40%,0.119,0.261,0.209,0.312,0.328,27.10%,41.70%,31.30%,13.30%,13.30%,26.30%,65.90%,43.10%,63.00%,80.00%,74.00%,0.328
17062,Grayson Greiner,DET,77,72,16,3,7,9,0,5.20%,28.60%,0.153,0.277,0.222,0.273,0.375,14.00%,52.00%,34.00%,5.90%,17.60%,35.80%,65.70%,47.00%,51.60%,88.70%,71.10%,0.251
13621,Jeimer Candelario,DET,114,99,22,0,13,5,1,12.30%,26.30%,0.071,0.319,0.222,0.325,0.293,27.50%,31.90%,40.60%,7.10%,0.00%,30.90%,62.50%,44.30%,59.80%,90.00%,77.90%,0.306
13359,Tyler Naquin,CLE,73,70,18,1,7,7,3,4.10%,28.80%,0.114,0.354,0.257,0.288,0.371,22.40%,42.90%,34.70%,23.50%,5.90%,36.00%,69.70%,50.20%,69.50%,78.30%,74.60%,0.325
2900,Roberto Perez,CLE,70,61,13,2,3,5,0,8.60%,32.90%,0.131,0.297,0.213,0.29,0.344,23.70%,44.70%,31.60%,0.00%,16.70%,21.30%,64.00%,38.20%,38.90%,78.90%,65.40%,0.321
5384,Juan Lagares,NYM,63,55,12,1,9,5,2,9.50%,28.60%,0.091,0.306,0.218,0.306,0.309,16.20%,59.50%,24.30%,0.00%,11.10%,30.50%,62.50%,44.00%,57.40%,84.30%,73.50%,0.279
5827,Wilmer Flores,ARI,87,79,19,1,9,7,0,6.90%,9.20%,0.089,0.254,0.241,0.299,0.329,20.80%,40.30%,38.90%,21.40%,3.60%,24.90%,62.50%,43.20%,85.70%,93.00%,90.80%,0.361
13277,Joey Rickard,BAL,95,86,17,2,9,6,1,8.40%,26.30%,0.163,0.254,0.198,0.274,0.36,18.00%,37.70%,44.30%,22.20%,7.40%,31.80%,72.50%,48.70%,68.80%,83.10%,77.60%,0.312
14109,Albert Almora Jr.,CHC,76,69,18,1,7,6,2,6.60%,17.10%,0.058,0.309,0.261,0.32,0.319,12.50%,60.70%,26.80%,20.00%,6.70%,40.90%,69.80%,52.50%,60.00%,91.90%,77.00%,0.271
14712,Manuel Margot,SDP,84,83,21,2,9,9,1,1.20%,20.20%,0.133,0.297,0.253,0.262,0.386,20.30%,26.60%,53.10%,17.60%,5.90%,27.50%,70.30%,49.50%,68.30%,87.40%,82.20%,0.304
6547,Jordy Mercer,DET,51,47,11,0,2,2,0,5.90%,21.60%,0.085,0.306,0.234,0.294,0.319,19.40%,38.90%,41.70%,0.00%,0.00%,25.20%,57.00%,39.40%,72.40%,94.30%,86.60%,0.31
785,Todd Frazier,NYM,30,29,6,2,2,7,1,0.00%,33.30%,0.207,0.235,0.207,0.233,0.414,15.80%,31.60%,52.60%,0.00%,20.00%,34.60%,54.90%,42.60%,63.00%,75.00%,69.10%,0.329
13066,Teoscar Hernandez,TOR,103,92,20,2,12,13,2,9.70%,26.20%,0.12,0.281,0.217,0.291,0.337,18.20%,39.40%,42.40%,7.10%,7.10%,29.80%,72.60%,46.40%,49.40%,79.00%,67.30%,0.306
7435,Ben Zobrist,CHC,82,71,17,0,8,7,0,12.20%,12.20%,0.014,0.274,0.239,0.329,0.254,22.60%,53.20%,24.20%,13.30%,0.00%,18.20%,53.20%,32.50%,73.00%,85.10%,81.10%,0.358
9241,Starling Marte,PIT,80,75,15,3,9,11,3,2.50%,20.00%,0.2,0.214,0.2,0.241,0.4,18.60%,52.50%,28.80%,11.80%,17.60%,39.40%,76.70%,55.10%,53.80%,88.00%,73.90%,0.342
3410,Ryan Braun,MIL,105,97,19,5,11,16,1,5.70%,23.80%,0.186,0.209,0.196,0.25,0.381,12.70%,52.10%,35.20%,8.00%,20.00%,38.20%,72.50%,52.20%,56.20%,89.70%,75.10%,0.343
11982,Travis Shaw,MIL,110,98,19,4,10,8,0,9.10%,34.50%,0.153,0.268,0.194,0.282,0.347,22.00%,37.30%,40.70%,8.30%,16.70%,27.60%,66.80%,44.40%,62.50%,69.50%,67.00%,0.281
16442,Ryan O'Hearn,KCR,99,84,14,3,11,8,0,13.10%,25.30%,0.167,0.193,0.167,0.283,0.333,11.70%,50.00%,38.30%,8.70%,13.00%,25.20%,58.30%,37.60%,54.10%,86.90%,73.10%,0.281
14894,Tony Kemp,HOU,45,39,7,2,7,3,1,8.90%,17.80%,0.154,0.172,0.179,0.273,0.333,13.30%,43.30%,43.30%,0.00%,15.40%,26.40%,57.90%,41.10%,73.90%,93.20%,86.60%,0.291
1433,Wilson Ramos,NYM,99,89,22,1,12,17,0,8.10%,15.20%,0.056,0.284,0.247,0.313,0.303,20.00%,62.70%,17.30%,15.40%,7.70%,36.20%,77.90%,54.80%,61.90%,85.30%,76.70%,0.351
17719,Steven Duggar,SFG,117,108,24,3,10,11,1,5.10%,29.90%,0.139,0.292,0.222,0.265,0.361,21.90%,53.40%,24.70%,0.00%,16.70%,25.90%,63.60%,43.50%,48.50%,85.30%,73.70%,0.278
15654,Billy McKinney,TOR,92,83,19,1,10,5,0,5.40%,20.70%,0.108,0.281,0.229,0.278,0.337,24.60%,40.00%,35.40%,17.40%,4.30%,31.30%,68.70%,48.20%,64.30%,87.10%,79.00%,0.274
18042,Dylan Moore,SEA,39,35,7,1,4,3,0,5.10%,38.50%,0.114,0.316,0.2,0.282,0.314,10.00%,60.00%,30.00%,0.00%,16.70%,26.90%,77.60%,48.30%,60.70%,81.40%,74.70%,0.302
9744,Justin Bour,LAA,91,80,14,3,7,13,0,11.00%,27.50%,0.15,0.212,0.175,0.275,0.325,14.50%,47.30%,38.20%,23.80%,14.30%,26.70%,57.50%,39.60%,56.50%,87.50%,75.30%,0.259
9256,A.J. Pollock,LAD,115,103,23,2,15,14,0,7.80%,20.00%,0.107,0.263,0.223,0.287,0.33,17.10%,47.60%,35.40%,10.30%,6.90%,29.60%,68.60%,46.00%,66.20%,91.70%,82.20%,0.327
15937,Aledmys Diaz,HOU,41,39,8,2,5,9,0,2.40%,14.60%,0.231,0.188,0.205,0.22,0.436,14.70%,55.90%,29.40%,10.00%,20.00%,39.00%,75.80%,55.40%,50.00%,89.40%,74.00%,0.356
9368,Evan Longoria,SFG,109,104,22,3,9,11,1,3.70%,21.10%,0.163,0.244,0.212,0.248,0.375,19.80%,38.30%,42.00%,5.90%,8.80%,35.00%,63.90%,49.50%,69.00%,87.80%,81.20%,0.325
10199,Billy Hamilton,KCR,84,74,16,0,12,3,8,10.70%,22.60%,0.068,0.286,0.216,0.298,0.284,29.10%,43.60%,27.30%,26.70%,0.00%,27.90%,68.40%,45.90%,64.20%,85.60%,78.30%,0.289
11602,Yolmer Sanchez,CHW,72,64,15,0,7,3,1,9.70%,26.40%,0.031,0.326,0.234,0.306,0.266,20.00%,46.70%,33.30%,0.00%,0.00%,26.70%,62.70%,40.90%,75.00%,78.40%,77.00%,0.318
