playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP
15998,Cody Bellinger,LAD,132,109,47,14,32,37,5,14.40%,11.40%,0.459,0.398,0.431,0.508,0.89,34.00%,29.90%,36.10%,5.70%,40.00%,22.60%,66.00%,40.70%,81.10%,88.40%,86.00%,0.406
11477,Christian Yelich,MIL,124,102,36,14,26,34,6,16.10%,16.10%,0.451,0.319,0.353,0.46,0.804,15.70%,43.40%,41.00%,11.80%,41.20%,27.90%,72.40%,44.80%,56.60%,87.80%,75.70%,0.429
17975,Scott Kingery,PHI,35,32,13,2,5,6,1,2.90%,14.30%,0.313,0.44,0.406,0.457,0.719,14.80%,51.90%,33.30%,0.00%,22.20%,40.20%,74.50%,53.50%,54.30%,85.40%,71.10%,0.315
7927,Eric Sogard,TOR,49,43,17,3,8,9,2,10.20%,10.20%,0.302,0.4,0.395,0.458,0.698,29.70%,29.70%,40.50%,0.00%,20.00%,27.30%,50.50%,37.30%,93.90%,97.80%,96.20%,0.353
14130,Daniel Vogelbach,SEA,92,71,22,8,15,16,0,21.70%,21.70%,0.423,0.318,0.31,0.457,0.732,21.20%,26.90%,51.90%,7.40%,29.60%,23.70%,48.80%,33.70%,66.10%,82.70%,75.70%,0.341
12861,Anthony Rendon,WSN,86,73,26,6,21,18,0,10.50%,17.40%,0.384,0.377,0.356,0.442,0.74,20.30%,30.50%,49.20%,10.30%,20.70%,22.90%,64.60%,40.30%,71.70%,93.50%,86.30%,0.412
15161,Mitch Garver,MIN,50,46,16,5,11,10,0,8.00%,26.00%,0.413,0.393,0.348,0.4,0.761,18.20%,42.40%,39.40%,0.00%,38.50%,20.90%,51.10%,32.90%,57.10%,91.10%,78.10%,0.365
13499,Tom Murphy,SEA,30,27,10,2,3,4,0,10.00%,36.70%,0.333,0.571,0.37,0.433,0.704,37.50%,12.50%,50.00%,0.00%,25.00%,29.50%,64.50%,45.00%,39.10%,82.50%,66.70%,0.324
15117,Hunter Dozier,KCR,103,86,30,7,14,17,0,14.60%,17.50%,0.337,0.371,0.349,0.447,0.686,18.80%,31.90%,49.30%,0.00%,20.60%,22.40%,55.30%,37.00%,51.10%,94.40%,79.90%,0.348
15672,Austin Meadows,TBR,83,74,26,6,11,19,3,9.60%,21.70%,0.324,0.4,0.351,0.422,0.676,23.20%,33.90%,42.90%,12.50%,25.00%,26.90%,56.70%,38.50%,58.30%,83.80%,72.90%,0.364
17321,Michael Chavis,BOS,39,32,10,3,7,8,1,15.40%,25.60%,0.313,0.368,0.313,0.436,0.625,9.10%,45.50%,45.50%,10.00%,30.00%,24.20%,67.10%,42.90%,50.00%,68.10%,62.30%,0.322
14128,Joey Gallo,TEX,109,87,23,10,20,25,0,19.30%,34.90%,0.414,0.325,0.264,0.404,0.678,28.00%,30.00%,42.00%,4.80%,47.60%,23.30%,69.40%,41.20%,32.40%,74.40%,59.90%,0.389
10155,Mike Trout,LAA,119,85,25,6,19,16,4,24.40%,11.80%,0.271,0.288,0.294,0.487,0.565,27.80%,31.90%,40.30%,6.90%,20.70%,16.10%,57.90%,33.50%,81.40%,96.40%,92.20%,0.438
11609,Willson Contreras,CHC,98,80,23,7,17,17,1,13.30%,28.60%,0.338,0.356,0.288,0.418,0.625,13.70%,41.20%,45.10%,8.70%,30.40%,32.10%,70.30%,45.60%,59.80%,79.80%,70.70%,0.355
8709,Elvis Andrus,TEX,120,108,39,5,19,20,6,8.30%,19.20%,0.222,0.425,0.361,0.425,0.583,30.60%,45.90%,23.50%,0.00%,25.00%,31.10%,57.10%,42.00%,61.20%,83.90%,74.10%,0.313
15172,Tim Anderson,CHW,99,96,36,6,21,18,10,2.00%,21.20%,0.24,0.435,0.375,0.394,0.615,22.70%,46.70%,30.70%,4.30%,26.10%,44.80%,79.40%,58.00%,66.30%,88.50%,77.90%,0.357
15149,Trey Mancini,BAL,121,110,39,6,23,14,0,8.30%,20.70%,0.264,0.413,0.355,0.405,0.618,25.60%,37.20%,37.20%,12.50%,18.80%,33.70%,69.30%,48.70%,68.80%,81.40%,76.40%,0.364
15653,Dominic Smith,NYM,34,27,10,0,7,4,0,17.60%,17.60%,0.074,0.476,0.37,0.5,0.444,23.80%,42.90%,33.30%,14.30%,0.00%,29.70%,63.80%,43.00%,77.80%,73.00%,75.00%,0.355
18015,Paul DeJong,STL,129,117,40,5,26,13,2,7.80%,17.10%,0.265,0.389,0.342,0.403,0.607,27.40%,29.50%,43.20%,9.80%,12.20%,25.50%,72.30%,46.60%,60.60%,85.10%,77.70%,0.318
19251,Pete Alonso,NYM,123,106,31,9,20,26,0,11.40%,28.50%,0.349,0.349,0.292,0.382,0.642,19.40%,41.70%,38.90%,7.10%,32.10%,33.70%,63.70%,45.00%,57.00%,83.10%,70.90%,0.358
16472,Rhys Hoskins,PHI,128,104,29,8,19,24,0,16.40%,25.80%,0.308,0.333,0.279,0.414,0.587,19.70%,29.60%,50.70%,16.70%,22.20%,22.40%,57.80%,37.60%,68.80%,84.60%,79.20%,0.364
12858,Brian Goodwin,LAA,95,80,27,4,19,11,0,12.60%,21.10%,0.238,0.404,0.338,0.426,0.575,29.50%,32.80%,37.70%,0.00%,17.40%,24.60%,60.10%,40.20%,61.40%,85.50%,77.20%,0.326
3174,Shin-Soo Choo,TEX,117,102,34,3,20,11,2,11.10%,18.80%,0.235,0.403,0.333,0.419,0.569,20.30%,45.60%,34.20%,0.00%,11.10%,20.90%,67.30%,42.60%,45.30%,84.70%,74.40%,0.371
15362,Jeff McNeil,NYM,116,100,37,1,15,12,0,8.60%,9.50%,0.13,0.409,0.37,0.457,0.5,21.80%,46.00%,32.20%,10.70%,3.60%,31.90%,78.10%,51.10%,67.10%,88.60%,80.80%,0.384
13419,Christian Walker,ARI,113,101,31,7,16,15,3,10.60%,29.20%,0.307,0.393,0.307,0.381,0.614,19.10%,41.20%,39.70%,7.40%,25.90%,30.40%,73.30%,48.00%,46.80%,75.00%,64.50%,0.348
13152,Jorge Polanco,MIN,113,100,32,5,15,10,0,9.70%,15.90%,0.28,0.346,0.32,0.389,0.6,27.20%,19.80%,53.10%,7.00%,11.60%,30.20%,62.40%,43.80%,77.50%,88.40%,84.10%,0.356
4229,Howie Kendrick,WSN,63,51,16,4,11,13,0,12.70%,14.30%,0.294,0.293,0.314,0.397,0.608,15.60%,42.20%,42.20%,0.00%,21.10%,28.90%,65.90%,43.00%,78.00%,96.60%,88.90%,0.395
13338,Omar Narvaez,SEA,91,77,25,5,20,13,0,13.20%,18.70%,0.221,0.357,0.325,0.418,0.545,21.30%,32.80%,45.90%,7.10%,17.90%,27.60%,71.20%,45.90%,75.80%,81.00%,79.20%,0.353
17027,Alex Verdugo,LAD,72,69,23,4,8,16,0,4.20%,11.10%,0.29,0.333,0.333,0.361,0.623,21.30%,45.90%,32.80%,0.00%,20.00%,25.30%,59.40%,40.20%,80.00%,95.10%,89.80%,0.342
16578,Yandy Diaz,TBR,114,94,28,7,18,18,1,14.90%,17.50%,0.298,0.3,0.298,0.395,0.596,14.30%,54.50%,31.20%,8.30%,29.20%,21.20%,69.30%,41.00%,63.20%,80.20%,75.00%,0.34
9134,Tyler Flowers,ATL,59,53,18,3,7,4,0,6.80%,30.50%,0.208,0.469,0.34,0.407,0.547,28.60%,34.30%,37.10%,7.70%,23.10%,24.60%,64.90%,42.90%,48.50%,83.30%,72.40%,0.319
2434,Nelson Cruz,MIN,91,78,23,5,14,15,0,11.00%,25.30%,0.269,0.36,0.295,0.396,0.564,29.10%,23.60%,47.30%,3.80%,19.20%,27.20%,70.50%,42.60%,47.70%,82.80%,68.40%,0.392
12859,James McCann,CHW,60,56,20,2,9,5,2,6.70%,21.70%,0.179,0.439,0.357,0.4,0.536,30.20%,32.60%,37.20%,0.00%,12.50%,29.80%,68.80%,47.70%,56.40%,81.80%,73.30%,0.328
11899,Joc Pederson,LAD,110,92,22,10,22,18,0,10.90%,19.10%,0.38,0.194,0.239,0.355,0.62,14.10%,43.70%,42.30%,6.70%,33.30%,31.00%,66.30%,46.10%,72.70%,84.40%,79.90%,0.339
11442,Gary Sanchez,NYY,67,60,14,8,10,18,0,7.50%,26.90%,0.433,0.176,0.233,0.313,0.667,14.30%,21.40%,64.30%,14.80%,29.60%,38.20%,57.90%,46.20%,53.30%,82.30%,68.00%,0.316
15983,Clint Frazier,NYY,73,68,22,6,10,17,0,4.10%,21.90%,0.309,0.333,0.324,0.342,0.632,20.40%,37.00%,42.60%,4.30%,26.10%,24.80%,73.80%,46.70%,37.50%,84.40%,70.60%,0.317
17232,Yoan Moncada,CHW,115,105,33,6,22,20,2,7.80%,22.60%,0.257,0.37,0.314,0.374,0.571,22.80%,40.50%,36.70%,10.30%,20.70%,26.50%,67.80%,46.00%,55.60%,84.80%,76.00%,0.367
5361,Freddie Freeman,ATL,133,110,33,5,23,18,0,15.80%,18.00%,0.2,0.346,0.3,0.421,0.5,32.60%,33.70%,33.70%,0.00%,17.20%,27.80%,79.50%,48.40%,67.40%,77.90%,74.30%,0.389
11875,Ronny Rodriguez,DET,32,29,8,2,6,4,1,6.30%,25.00%,0.414,0.3,0.276,0.313,0.69,9.50%,33.30%,57.10%,8.30%,16.70%,46.60%,68.20%,55.90%,55.60%,76.70%,66.70%,0.252
4940,Jason Heyward,CHC,101,81,25,5,15,15,4,16.80%,13.90%,0.198,0.313,0.309,0.426,0.506,17.40%,46.40%,36.20%,12.00%,20.00%,26.00%,66.20%,41.90%,74.10%,91.10%,84.70%,0.343
16505,Matt Chapman,OAK,120,101,29,7,12,17,0,11.70%,11.70%,0.267,0.268,0.287,0.383,0.554,15.70%,40.40%,43.80%,17.90%,17.90%,22.20%,59.10%,38.40%,83.60%,85.60%,85.00%,0.342
16219,J.D. Davis,NYM,74,63,19,3,12,8,0,14.90%,16.20%,0.206,0.333,0.302,0.405,0.508,25.50%,49.00%,25.50%,7.70%,23.10%,20.00%,68.10%,42.40%,67.70%,81.50%,78.00%,0.369
5209,Alex Gordon,KCR,124,103,31,5,18,22,0,9.70%,11.30%,0.243,0.299,0.301,0.395,0.544,18.90%,45.60%,35.60%,3.10%,15.60%,22.90%,75.90%,44.90%,66.70%,89.90%,82.90%,0.345
10324,Marcell Ozuna,STL,114,100,26,10,24,28,3,11.40%,21.90%,0.35,0.246,0.26,0.351,0.61,21.30%,37.30%,41.30%,9.70%,32.30%,31.60%,67.00%,46.20%,55.30%,80.20%,70.10%,0.328
14811,Luke Voit,NYY,130,109,30,8,21,25,0,13.80%,23.80%,0.248,0.314,0.275,0.392,0.523,34.60%,34.60%,30.80%,0.00%,33.30%,25.80%,78.10%,47.70%,46.80%,81.00%,70.20%,0.378
15640,Aaron Judge,NYY,89,73,21,5,13,11,2,15.70%,29.20%,0.233,0.372,0.288,0.404,0.521,31.30%,39.60%,29.20%,0.00%,35.70%,24.10%,66.50%,42.40%,38.50%,78.00%,65.20%,0.381
13145,Josh Bell,PIT,113,98,28,6,16,21,0,10.60%,23.90%,0.306,0.328,0.286,0.363,0.592,20.50%,42.50%,37.00%,3.70%,22.20%,27.20%,73.20%,44.20%,66.70%,80.50%,75.10%,0.367
10681,Gio Urshela,NYY,66,58,20,1,8,6,1,7.60%,13.60%,0.155,0.388,0.345,0.409,0.5,34.00%,40.00%,26.00%,15.40%,7.70%,37.10%,69.40%,50.60%,76.80%,89.30%,84.00%,0.355
12979,Javier Baez,CHC,123,116,35,9,23,22,2,5.70%,26.80%,0.31,0.351,0.302,0.341,0.612,16.90%,43.40%,39.80%,6.10%,27.30%,45.40%,75.40%,55.70%,55.60%,85.00%,69.30%,0.316
16376,Michael Conforto,NYM,129,104,28,6,20,14,2,17.10%,22.50%,0.25,0.314,0.269,0.403,0.519,25.00%,26.30%,48.70%,5.40%,16.20%,23.50%,66.70%,40.50%,61.50%,81.90%,74.80%,0.363
6153,Eduardo Escobar,ARI,124,109,33,5,17,17,0,8.90%,21.80%,0.239,0.359,0.303,0.379,0.541,22.90%,41.00%,36.10%,3.30%,16.70%,37.70%,60.20%,46.30%,61.40%,85.70%,73.50%,0.32
12856,George Springer,HOU,135,117,32,9,21,24,3,11.90%,25.90%,0.291,0.311,0.274,0.363,0.564,14.50%,49.40%,36.10%,6.70%,30.00%,21.40%,71.50%,42.90%,55.60%,79.00%,72.30%,0.383
14162,Carlos Correa,HOU,116,104,31,6,12,18,1,8.60%,26.70%,0.26,0.368,0.298,0.362,0.558,28.80%,37.00%,34.20%,8.00%,24.00%,29.50%,65.00%,45.00%,59.20%,85.40%,75.70%,0.358
4866,Jarrod Dyson,ARI,75,64,20,3,13,8,3,13.30%,16.00%,0.188,0.34,0.313,0.4,0.5,20.40%,59.20%,20.40%,0.00%,30.00%,23.40%,64.70%,40.30%,55.00%,90.90%,78.60%,0.313
17678,Alex Bregman,HOU,122,96,26,5,14,14,2,18.00%,14.80%,0.208,0.28,0.271,0.41,0.479,27.50%,25.00%,47.50%,13.20%,13.20%,17.50%,59.00%,35.10%,62.00%,91.90%,83.30%,0.423
13611,Mookie Betts,BOS,132,112,33,6,22,15,1,13.60%,14.40%,0.232,0.307,0.295,0.394,0.527,16.00%,41.50%,42.60%,17.50%,15.00%,17.20%,58.10%,35.80%,73.10%,93.20%,87.90%,0.391
5038,Josh Donaldson,ATL,119,97,25,5,20,13,0,17.60%,26.90%,0.237,0.333,0.258,0.395,0.495,16.90%,49.20%,33.80%,9.10%,22.70%,22.70%,72.90%,42.30%,54.20%,77.00%,69.50%,0.379
12144,Max Kepler,MIN,102,90,25,7,15,16,0,10.80%,17.60%,0.289,0.273,0.278,0.353,0.567,13.70%,39.70%,46.60%,14.70%,20.60%,30.90%,77.40%,51.00%,58.70%,91.70%,80.30%,0.336
2967,Tommy Pham,TBR,125,102,30,4,14,12,6,16.80%,15.20%,0.167,0.325,0.294,0.416,0.461,21.40%,54.80%,23.80%,5.00%,20.00%,14.10%,65.20%,36.90%,66.70%,87.70%,83.20%,0.369
3353,Matt Joyce,ATL,30,27,7,2,3,5,0,10.00%,26.70%,0.333,0.294,0.259,0.333,0.593,15.80%,31.60%,52.60%,0.00%,20.00%,22.00%,61.80%,41.20%,53.80%,79.40%,72.30%,0.408
19709,Fernando Tatis Jr.,SDP,111,100,30,6,14,13,6,7.20%,28.80%,0.25,0.381,0.3,0.36,0.55,13.40%,49.30%,37.30%,8.00%,24.00%,34.50%,71.70%,49.00%,54.90%,78.00%,68.10%,0.379
18882,Brandon Lowe,TBR,100,90,26,6,17,17,3,8.00%,33.00%,0.278,0.385,0.289,0.35,0.567,32.80%,36.20%,31.00%,11.10%,33.30%,33.30%,79.20%,52.50%,38.50%,77.40%,63.00%,0.336
3892,Josh Reddick,HOU,99,91,32,3,13,7,1,8.10%,11.10%,0.132,0.377,0.352,0.404,0.484,25.30%,38.00%,36.70%,3.40%,10.30%,35.70%,78.10%,54.00%,74.60%,93.20%,86.20%,0.319
4892,Mike Moustakas,MIL,102,90,24,7,14,15,1,10.80%,20.60%,0.289,0.274,0.267,0.353,0.556,22.10%,30.90%,47.10%,21.90%,21.90%,34.40%,66.20%,46.00%,69.30%,85.70%,78.00%,0.329
14523,Pedro Severino,BAL,47,42,11,4,5,8,0,8.50%,21.30%,0.31,0.25,0.262,0.34,0.571,18.80%,40.60%,40.60%,30.80%,30.80%,21.90%,60.00%,38.90%,47.80%,88.20%,75.70%,0.321
18401,Ronald Acuna Jr.,ATL,128,105,29,6,17,19,2,14.10%,21.90%,0.219,0.324,0.276,0.392,0.495,23.40%,42.90%,33.80%,7.70%,23.10%,23.10%,70.10%,42.00%,74.70%,82.20%,79.80%,0.365
3711,Eric Thames,MIL,63,55,15,5,10,16,0,7.90%,34.90%,0.291,0.345,0.273,0.349,0.564,29.40%,20.60%,50.00%,0.00%,29.40%,25.30%,68.20%,43.50%,45.90%,83.60%,70.90%,0.346
13744,David Dahl,COL,89,81,26,2,11,8,0,6.70%,31.50%,0.222,0.462,0.321,0.364,0.543,28.30%,37.70%,34.00%,0.00%,11.10%,40.70%,72.30%,52.60%,54.00%,77.70%,66.30%,0.353
4106,Michael Brantley,HOU,129,118,39,5,17,18,3,7.00%,10.90%,0.186,0.34,0.331,0.38,0.517,26.20%,46.60%,27.20%,0.00%,17.90%,27.90%,62.30%,43.90%,83.10%,96.90%,92.20%,0.372
2396,Carlos Santana,CLE,114,95,30,3,17,16,1,15.80%,15.80%,0.147,0.365,0.316,0.43,0.463,20.80%,53.20%,26.00%,0.00%,15.00%,23.60%,70.20%,42.70%,57.80%,87.10%,77.60%,0.397
6184,J.D. Martinez,BOS,120,105,34,4,15,15,1,10.00%,14.20%,0.171,0.353,0.324,0.4,0.495,18.00%,41.60%,40.40%,0.00%,11.10%,34.80%,79.10%,54.40%,55.10%,89.30%,77.10%,0.383
12371,Tommy La Stella,LAA,90,76,19,7,15,18,0,11.10%,5.60%,0.289,0.188,0.25,0.352,0.539,21.10%,42.30%,36.60%,7.70%,26.90%,18.90%,56.80%,38.40%,91.20%,90.70%,90.80%,0.346
2151,Edwin Encarnacion,SEA,114,95,24,8,19,20,0,13.20%,17.50%,0.263,0.235,0.253,0.368,0.516,23.70%,32.90%,43.40%,6.10%,24.20%,25.90%,62.80%,40.50%,68.40%,78.30%,74.50%,0.344
10322,Danny Santana,TEX,63,59,20,2,13,9,5,1.60%,25.40%,0.203,0.429,0.339,0.355,0.542,29.50%,34.10%,36.40%,12.50%,12.50%,38.50%,72.70%,54.70%,66.00%,87.50%,79.50%,0.324
5930,Nick Markakis,ATL,121,103,34,2,18,18,0,12.40%,13.20%,0.146,0.364,0.33,0.405,0.476,30.00%,50.00%,20.00%,0.00%,11.10%,27.50%,63.20%,43.10%,85.50%,88.50%,87.40%,0.356
5933,Jean Segura,PHI,83,76,25,1,15,11,1,6.00%,13.30%,0.158,0.375,0.329,0.386,0.487,16.90%,58.50%,24.60%,0.00%,6.30%,33.50%,56.30%,43.30%,77.40%,94.00%,86.70%,0.323
5452,Ji-Man Choi,TBR,80,67,20,1,10,8,1,12.50%,20.00%,0.164,0.373,0.299,0.4,0.463,28.80%,48.10%,23.10%,8.30%,8.30%,19.10%,69.60%,41.70%,68.60%,84.50%,80.40%,0.363
4062,Dexter Fowler,STL,94,80,25,1,12,7,1,12.80%,21.30%,0.113,0.407,0.313,0.415,0.425,35.60%,40.70%,23.70%,7.10%,7.10%,19.80%,70.70%,40.80%,59.60%,80.50%,74.50%,0.346
2136,David Peralta,ARI,132,123,39,4,19,20,0,5.30%,24.20%,0.22,0.398,0.317,0.356,0.537,25.00%,46.70%,28.30%,3.80%,15.40%,38.40%,67.00%,50.60%,66.00%,85.80%,77.20%,0.343
14593,David Bote,CHC,74,65,18,3,11,14,0,9.50%,20.30%,0.231,0.319,0.277,0.365,0.508,14.00%,56.00%,30.00%,13.30%,20.00%,28.20%,62.40%,42.40%,58.00%,91.00%,78.10%,0.362
4810,Brian McCann,ATL,48,40,13,1,2,8,0,12.50%,8.30%,0.125,0.333,0.325,0.417,0.45,18.90%,51.40%,29.70%,9.10%,9.10%,29.20%,63.80%,42.30%,87.90%,90.90%,89.60%,0.323
3473,Anthony Rizzo,CHC,124,101,23,6,20,18,1,12.90%,16.10%,0.257,0.227,0.228,0.371,0.485,21.00%,37.00%,42.00%,8.80%,17.60%,32.00%,58.80%,42.40%,75.50%,88.30%,82.40%,0.405
7996,Jose Martinez,STL,82,77,28,1,12,13,1,4.90%,18.30%,0.104,0.435,0.364,0.39,0.468,28.60%,44.40%,27.00%,5.90%,5.90%,29.10%,61.00%,44.00%,71.70%,91.80%,84.70%,0.34
9054,Justin Smoak,TOR,109,91,24,5,15,18,0,14.70%,22.00%,0.198,0.306,0.264,0.385,0.462,20.90%,28.40%,50.70%,2.90%,14.70%,21.70%,59.40%,36.90%,61.70%,89.20%,79.50%,0.342
11579,Bryce Harper,PHI,129,104,25,6,17,20,1,17.80%,29.50%,0.25,0.317,0.24,0.388,0.49,18.50%,44.60%,36.90%,16.70%,25.00%,26.90%,78.30%,47.00%,46.00%,74.10%,64.30%,0.372
12532,Kolten Wong,STL,113,92,25,4,14,15,5,14.20%,15.00%,0.196,0.292,0.272,0.398,0.467,16.40%,42.50%,41.10%,16.70%,13.30%,26.10%,65.80%,43.10%,69.70%,88.80%,82.20%,0.361
8252,Hunter Pence,TEX,62,56,17,3,14,13,1,8.10%,16.10%,0.214,0.318,0.304,0.355,0.518,21.30%,53.20%,25.50%,8.30%,25.00%,34.10%,71.00%,50.00%,66.70%,85.90%,78.40%,0.358
9549,David Freese,LAD,53,43,10,2,8,8,0,18.90%,18.90%,0.233,0.258,0.233,0.377,0.465,27.30%,51.50%,21.20%,0.00%,28.60%,26.80%,60.20%,41.30%,73.50%,86.40%,81.70%,0.403
6368,Adam Jones,ARI,126,112,32,5,13,18,0,7.10%,14.30%,0.214,0.303,0.286,0.36,0.5,18.30%,45.20%,36.60%,23.50%,14.70%,35.80%,69.90%,50.10%,63.90%,90.50%,79.50%,0.313
9218,Paul Goldschmidt,STL,132,116,30,9,22,19,0,11.40%,25.80%,0.259,0.288,0.259,0.348,0.517,15.90%,37.80%,46.30%,2.60%,23.70%,30.00%,66.30%,45.10%,78.20%,77.40%,77.70%,0.346
7185,Logan Forsythe,TEX,94,79,22,3,13,14,1,12.80%,23.40%,0.19,0.345,0.278,0.376,0.468,24.10%,41.40%,34.50%,5.00%,15.00%,12.90%,51.00%,30.50%,76.70%,89.20%,86.40%,0.325
11368,Yasmani Grandal,MIL,104,92,26,6,16,12,3,9.60%,22.10%,0.217,0.313,0.283,0.356,0.5,22.10%,47.10%,30.90%,9.50%,28.60%,32.70%,64.30%,46.90%,61.60%,78.60%,72.10%,0.38
12564,Trevor Story,COL,131,118,33,7,22,19,6,6.90%,25.20%,0.237,0.329,0.28,0.344,0.517,20.90%,33.70%,45.30%,5.10%,17.90%,31.70%,71.80%,48.60%,71.60%,79.20%,76.30%,0.363
12155,Eddie Rosario,MIN,112,105,25,11,20,24,0,6.30%,16.10%,0.362,0.184,0.238,0.286,0.6,10.30%,37.90%,51.70%,8.90%,24.40%,44.20%,76.40%,55.50%,71.90%,88.50%,79.90%,0.3
4316,Daniel Murphy,COL,38,33,8,2,7,5,0,13.20%,5.30%,0.273,0.207,0.242,0.342,0.515,12.90%,29.00%,58.10%,5.60%,11.10%,36.30%,69.20%,48.30%,90.90%,91.70%,91.30%,0.328
12547,John Hicks,DET,54,49,15,1,2,4,1,9.30%,24.10%,0.163,0.4,0.306,0.37,0.469,25.00%,41.70%,33.30%,8.30%,8.30%,40.20%,77.10%,58.10%,60.00%,80.20%,73.00%,0.24
3142,Robinson Chirinos,HOU,85,69,18,3,12,12,0,11.80%,28.20%,0.232,0.341,0.261,0.361,0.493,17.40%,30.40%,52.20%,16.70%,12.50%,37.70%,68.20%,49.80%,56.00%,75.60%,66.70%,0.347
20123,Juan Soto,WSN,125,105,26,6,16,22,3,15.20%,25.60%,0.219,0.299,0.248,0.368,0.467,19.40%,47.20%,33.30%,4.20%,25.00%,23.70%,66.00%,39.70%,58.80%,87.50%,76.90%,0.401
12533,Marcus Semien,OAK,129,114,34,4,19,14,1,10.90%,13.20%,0.175,0.319,0.298,0.372,0.474,18.40%,48.00%,33.70%,15.20%,12.10%,24.60%,64.60%,42.10%,65.70%,92.70%,83.80%,0.369
10348,Domingo Santana,SEA,135,120,36,5,15,25,3,9.60%,25.90%,0.175,0.383,0.3,0.366,0.475,34.90%,41.90%,23.30%,0.00%,25.00%,27.80%,74.30%,48.10%,67.00%,85.20%,79.30%,0.329
15608,Willians Astudillo,MIN,53,49,16,2,11,7,0,1.90%,1.90%,0.204,0.292,0.327,0.34,0.531,26.00%,38.00%,36.00%,5.60%,11.10%,46.80%,84.70%,63.30%,84.10%,96.70%,91.40%,0.299
10264,Brandon Belt,SFG,114,97,23,5,13,12,1,13.20%,23.70%,0.258,0.277,0.237,0.351,0.495,21.40%,22.90%,55.70%,10.30%,12.80%,26.90%,73.50%,46.80%,59.70%,87.80%,78.50%,0.339
9847,Andrew McCutchen,PHI,131,108,26,5,24,10,1,17.60%,24.40%,0.213,0.296,0.241,0.374,0.454,17.10%,47.40%,35.50%,7.40%,18.50%,19.00%,52.30%,34.50%,52.60%,78.80%,71.10%,0.378
16556,Ozzie Albies,ATL,132,121,35,6,24,12,3,7.60%,15.90%,0.207,0.309,0.289,0.348,0.496,22.20%,45.50%,32.30%,3.10%,18.80%,41.20%,78.30%,57.20%,76.90%,83.20%,80.60%,0.352
15676,Jose Abreu,CHW,117,104,29,5,15,24,2,9.40%,23.10%,0.221,0.329,0.279,0.35,0.5,20.50%,42.30%,37.20%,6.90%,17.20%,28.60%,67.40%,44.00%,60.50%,89.70%,78.30%,0.33
15181,Ryan Cordell,CHW,42,36,9,2,6,6,1,11.90%,26.20%,0.222,0.304,0.25,0.357,0.472,16.00%,36.00%,48.00%,8.30%,16.70%,26.90%,68.50%,44.10%,57.10%,80.00%,71.80%,0.29
18030,Harrison Bader,STL,63,49,11,3,8,9,0,14.30%,31.70%,0.204,0.308,0.224,0.387,0.429,32.00%,32.00%,36.00%,11.10%,33.30%,23.90%,64.00%,41.80%,47.10%,83.60%,72.00%,0.314
5409,Pablo Sandoval,SFG,46,46,13,2,8,6,0,0.00%,26.10%,0.304,0.344,0.283,0.283,0.587,32.40%,44.10%,23.50%,0.00%,25.00%,50.00%,76.40%,61.20%,71.40%,80.00%,76.00%,0.313
4022,Melky Cabrera,PIT,88,85,28,3,8,7,1,3.40%,12.50%,0.165,0.352,0.329,0.352,0.494,25.70%,44.60%,29.70%,9.10%,13.60%,34.50%,73.60%,51.00%,81.40%,92.40%,88.10%,0.313
6609,Freddy Galvis,TOR,99,96,30,5,14,12,2,3.00%,21.20%,0.198,0.357,0.313,0.333,0.51,20.30%,40.50%,39.20%,3.40%,17.20%,35.50%,71.30%,51.50%,54.20%,83.80%,72.50%,0.296
10472,Enrique Hernandez,LAD,111,97,25,6,16,17,0,11.70%,23.40%,0.247,0.288,0.258,0.342,0.505,23.60%,34.70%,41.70%,10.00%,20.00%,26.90%,66.70%,43.10%,57.50%,89.50%,77.70%,0.304
18314,Dansby Swanson,ATL,112,96,25,5,14,22,2,10.70%,22.30%,0.26,0.29,0.26,0.339,0.521,27.00%,40.50%,32.40%,4.20%,20.80%,23.50%,68.50%,42.60%,64.10%,83.90%,77.60%,0.325
12092,Niko Goodrum,DET,98,80,19,3,12,11,3,17.30%,22.40%,0.213,0.286,0.238,0.367,0.45,33.90%,35.60%,30.50%,5.60%,16.70%,23.10%,66.50%,40.60%,55.20%,79.60%,71.30%,0.322
12161,Xander Bogaerts,BOS,123,107,29,4,18,16,0,12.20%,21.10%,0.196,0.321,0.271,0.358,0.467,22.00%,30.50%,47.60%,0.00%,10.30%,28.50%,56.30%,40.30%,67.10%,87.50%,79.20%,0.384
5417,Jose Altuve,HOU,128,113,28,9,15,20,1,10.90%,16.40%,0.265,0.226,0.248,0.328,0.513,16.70%,45.60%,37.80%,23.50%,26.50%,24.10%,68.10%,41.40%,62.90%,86.70%,78.30%,0.353
15464,Hunter Renfroe,SDP,82,75,18,6,9,12,1,7.30%,23.20%,0.333,0.235,0.24,0.293,0.573,21.10%,40.40%,38.60%,4.50%,27.30%,41.60%,70.80%,52.90%,70.90%,87.10%,79.30%,0.289
